refresh,eye_position
1.0,0.13697984482858466
2.0,0.1417280437393099
3.0,0.14029678779366264
4.0,0.1395917672683554
5.0,0.1403402535581946
6.0,0.14178862156482372
7.0,0.14125702167021167
8.0,0.14120271864132106
9.0,0.14194676074126014
10.0,0.14146946548283762
11.0,0.14108068563684717
12.0,0.14159019785754962
13.0,0.14219663394432258
14.0,0.1439985229958765
15.0,0.14325117273617863
16.0,0.1449113335823703
17.0,0.13989766388518185
18.0,0.1432250634685804
19.0,0.1420588950941623
20.0,0.14196185287672566
21.0,0.14188129043327727
22.0,0.14211035103522668
23.0,0.13302995525464897
24.0,0.1312871542025522
25.0,0.12820573400618915
26.0,0.12800026589298766
27.0,0.12820187292712917
28.0,0.12890874828952786
29.0,0.12885844041264785
30.0,0.12650721209259286
31.0,0.12794567711010332
32.0,0.1291258956584605
33.0,0.12777804741322765
34.0,0.1288238024732512
35.0,0.1254661135693616
36.0,0.13050832509223237
37.0,0.1280215599453082
38.0,0.12713743329095867
39.0,0.12764789011141503
40.0,0.1272251481859032
41.0,0.12725170309123865
42.0,0.12750245832958293
43.0,0.1286359793949931
44.0,0.1283451987923375
45.0,0.1285203154075878
46.0,0.1291558025531059
47.0,0.12736452515175892
48.0,0.12885221178905273
49.0,0.12870833017842426
50.0,0.12869495218724603
51.0,0.128034525388118
52.0,0.12963372070539533
53.0,0.12879211650460998
54.0,0.1300002223909124
55.0,0.1290195844678095
56.0,0.1293707201338735
57.0,0.12914489717615782
58.0,0.12909521330817283
59.0,0.13053602061672642
60.0,0.12941826336003043
61.0,0.130882654223348
62.0,0.13024753868105063
63.0,0.1315717805225181
64.0,0.13021359176419905
65.0,0.1289690910003168
66.0,0.12853103887801848
67.0,0.13129444151762176
68.0,0.12951751598704897
69.0,0.13037797212056593
70.0,0.1284776658023995
71.0,0.13151943029011937
72.0,0.13118263399783467
73.0,0.13293562161370687
74.0,0.13363202466604182
75.0,0.13274983578816882
76.0,0.1327333044798644
77.0,0.13255347091051248
78.0,0.13685413999549273
79.0,0.1378638793348222
80.0,0.1381907694957822
81.0,0.13982655745083808
82.0,0.1407568451348304
83.0,0.13990310569071987
84.0,0.13985280081746013
85.0,0.1403277983823082
86.0,0.13913253863569963
87.0,0.1387783002613421
88.0,0.14044727086010134
89.0,0.13866539538266484
90.0,0.14083648843738988
91.0,0.14002131715812044
92.0,0.13972519215873574
93.0,0.14041527184509373
94.0,0.13862907155930418
95.0,0.13879834683223016
96.0,0.13882318976310418
97.0,0.13929958239274795
98.0,0.13906731475306966
99.0,0.1391893639649117
100.0,0.14040249658625029
101.0,0.13857454111677686
102.0,0.13809311089245235
103.0,0.13758458697156567
104.0,0.14059133788198078
105.0,0.14046726307330515
106.0,0.1405063882675787
107.0,0.14212598333847326
108.0,0.14441781200950457
109.0,0.14597487576633866
110.0,0.14703659114637246
111.0,0.1477628845695588
112.0,0.14723005718911134
113.0,0.14635987000469114
114.0,0.14547223528372766
115.0,0.14621062126902146
116.0,0.1450709587158561
117.0,0.14589905268639927
118.0,0.1457130835352317
119.0,0.14646934395147798
120.0,0.14638679594589607
121.0,0.14550691772252045
122.0,0.14766273887719641
123.0,0.1478906760455818
124.0,0.14596624708033032
125.0,0.147599227489779
126.0,0.14498882652910428
127.0,0.1469819665192591
128.0,0.1407519344488176
129.0,0.14678726099607098
130.0,0.14694209445895506
131.0,0.14880917392006388
132.0,0.14871384521629302
133.0,0.14890733996610606
134.0,0.1470150725024583
135.0,0.149549588134386
136.0,0.1459596953163905
137.0,0.14642370926216192
138.0,0.14611251413907989
139.0,0.14479728959054697
140.0,0.14573118107836866
141.0,0.14502777470504652
142.0,0.14609660626282114
143.0,0.14557525615100478
144.0,0.1448249561619273
145.0,0.14611230507719355
146.0,0.14640673859487247
147.0,0.14748940248935083
148.0,0.14521181084890733
149.0,0.1450751514961115
150.0,0.14033095242898305
151.0,0.1407270214107546
152.0,0.14175918563275128
153.0,0.1396606099818117
154.0,0.14090559510906217
155.0,0.14028458567936175
156.0,0.1467288976419533
157.0,0.1459429667159121
158.0,0.1459954221357915
159.0,0.1482182421196803
160.0,0.14255452961266504
161.0,0.139937466690082
162.0,0.14463893024191754
163.0,0.13986591320290298
164.0,0.13754656610484975
165.0,0.13806291136498883
166.0,0.1391911161890065
167.0,0.13742421385072306
168.0,0.1370549484575928
169.0,0.13677560027801053
170.0,0.1348371232610186
171.0,0.13309779377541392
172.0,0.13149610478723833
173.0,0.1305106063420077
174.0,0.126908106004792
175.0,0.12966917190937044
176.0,0.12928227151695584
177.0,0.1363739883238672
178.0,0.1356289711503702
179.0,0.13713040942468033
180.0,0.13611935251411103
181.0,0.14115858924991095
182.0,0.14265762691989417
183.0,0.13358129595145662
184.0,0.13081890721902525
185.0,0.1329602676194643
